game,avg_rating,rating_count
LEGO Jurassic World,15.657142857142857,7
Guild Wars Game of the Year,15.65,2
Reassembly,15.64,5
Offworld Trading Company,15.6,5
Spelunky,15.579166666666666,24
Transformers Fall of Cybertron,15.553846153846154,13
Stronghold Kingdoms,15.544444444444444,18
FreeStyle2 Street Basketball,15.544,50
Tom Clancy's Ghost Recon Phantoms - NA,15.536458333333334,96
Age of Mythology Extended Edition,15.516666666666667,30
Supreme Commander Forged Alliance,15.51,20
Lords Of The Fallen,15.5,16
Just Cause 2,15.460902255639098,133
Torchlight,15.454237288135593,59
S.T.A.L.K.E.R. Shadow of Chernobyl,15.454166666666666,24
La Tale,15.444444444444445,9
Insurgency,15.43818181818182,110
Ship Simulator Extremes,15.433333333333332,3
BioShock Infinite,15.430769230769231,195
Ultra Street Fighter IV,15.425925925925926,27
Tomb Raider,15.405464480874317,183
Wallace & Gromit Ep 2 The Last Resort,15.4,1
Dungeons of Dredmor,15.385,20
Guild of Dungeoneering,15.366666666666665,3
FTL Faster Than Light,15.353508771929825,114
Castle Story,15.342857142857142,7
Sid Meier's Ace Patrol,15.34,5
The Lord of the Rings War in the North,15.339024390243901,41
Recettear An Item Shop's Tale,15.328571428571427,14
Dota 2,15.309538114908,2663
Wildlife Park 2,15.3,2
Undertale,15.289655172413795,29
Champions Online,15.285714285714286,14
Medieval II Total War Kingdoms,15.261904761904763,21
Star Wars Jedi Knight Jedi Academy,15.235714285714286,28
Heroes of Might & Magic V Tribes of the East,15.233333333333334,3
RPG Maker VX Ace,15.214285714285714,21
Blacklight Retribution,15.208620689655174,58
Millie,15.2,1
Warlock - Master of the Arcane,15.172222222222224,18
DUNGEONS - Steam Special Edition,15.166666666666666,6
Command and Conquer 3 Kane's Wrath,15.155555555555557,9
Heroes of Scene,15.15,2
Cities XL Platinum,15.109090909090908,11
Magic 2015,15.09375,16
Shovel Knight,15.072727272727274,11
NARUTO SHIPPUDEN Ultimate Ninja STORM Revolution,15.053846153846154,13
SimCity 4 Deluxe,15.002857142857144,35
My Lands,15.0,1
Rayman Origins,14.975,8
